subgroup,n,cookD,indices,term,coef_group,se_group,t_group,p_group,sig_group,coef_global,se_global,t_global,p_global,sig_global
"Dalc in (2.0, 5.0] ∧ failures in (-0.001, 3.0] ∧ reason=='course'",20,709.8106221784933,"[25, 31, 38, 55, 74, 75, 123, 137, 154, 170, 182, 231, 291, 302, 342, 348, 366, 419, 429, 444]",G1,1.4913124177941768,0.8924133743814694,1.671100479447435,0.12287624024457866, ,0.1329528050058144,0.03903032135905383,3.406397907481576,0.0007180219702130492,***
"Dalc in (2.0, 5.0] ∧ failures in (-0.001, 3.0] ∧ reason=='course'",20,709.8106221784933,"[25, 31, 38, 55, 74, 75, 123, 137, 154, 170, 182, 231, 291, 302, 342, 348, 366, 419, 429, 444]",G2,0.0026282702779099054,0.766467000239773,0.003429071671823714,0.9973254000616177, ,0.8909118628688546,0.03654008008673422,24.38177094177464,5.217998654470732e-84,***
"Dalc in (2.0, 5.0] ∧ failures in (-0.001, 3.0] ∧ reason=='course'",20,709.8106221784933,"[25, 31, 38, 55, 74, 75, 123, 137, 154, 170, 182, 231, 291, 302, 342, 348, 366, 419, 429, 444]",absences,0.41938075878372416,0.17483489941400543,2.398724512036005,0.03531217229822119,*,0.010979197311119293,0.012097131348961508,0.9075868480225946,0.364587759086899, 
"Dalc in (2.0, 5.0] ∧ failures in (-0.001, 3.0] ∧ reason=='course'",20,709.8106221784933,"[25, 31, 38, 55, 74, 75, 123, 137, 154, 170, 182, 231, 291, 302, 342, 348, 366, 419, 429, 444]",activities,-0.7943053032889793,1.4034151741334517,-0.5659802729291626,0.5827689123203063, ,-0.05163161341619116,0.1090350536417405,-0.47353224207912603,0.6360657209565252, 
"Dalc in (2.0, 5.0] ∧ failures in (-0.001, 3.0] ∧ reason=='course'",20,709.8106221784933,"[25, 31, 38, 55, 74, 75, 123, 137, 154, 170, 182, 231, 291, 302, 342, 348, 366, 419, 429, 444]",paid,8.393367082596797,4.323011999742438,1.9415553514764397,0.0782342230716191,.,-0.4491792957412315,0.22176273669904764,-2.025494915995779,0.043412905619607346,*
"Dalc in (2.0, 5.0] ∧ failures in (-0.001, 3.0] ∧ reason=='course'",20,709.8106221784933,"[25, 31, 38, 55, 74, 75, 123, 137, 154, 170, 182, 231, 291, 302, 342, 348, 366, 419, 429, 444]",famsup,-2.951819677360646,1.4828829471176501,-1.9905952004493936,0.0719534592366869,.,0.09884040336740618,0.11312055584428644,0.8737616486208105,0.38271934540241404, 
"Dalc in (2.0, 5.0] ∧ failures in (-0.001, 3.0] ∧ reason=='course'",20,709.8106221784933,"[25, 31, 38, 55, 74, 75, 123, 137, 154, 170, 182, 231, 291, 302, 342, 348, 366, 419, 429, 444]",schoolsup,8.384420073291608,2.785008150342061,3.010554950175573,0.011854105972323978,*,0.027471533623433686,0.1843302801872186,0.1490342964570536,0.8815940853921977, 
"Dalc in (2.0, 5.0] ∧ failures in (-0.001, 3.0] ∧ reason=='course'",20,709.8106221784933,"[25, 31, 38, 55, 74, 75, 123, 137, 154, 170, 182, 231, 291, 302, 342, 348, 366, 419, 429, 444]",studytime,-1.5351402918788182,0.8786841126937595,-1.7470900744666678,0.10844365779712924, ,0.023781461856980712,0.07052088856934668,0.33722578287701555,0.7361056996743344, 
"freetime in (4.0, 5.0] ∧ higher=='yes' ∧ school=='GP'",20,647.4586593582886,"[34, 42, 74, 113, 123, 132, 165, 189, 196, 217, 261, 268, 288, 297, 322, 332, 351, 372, 373, 380]",Intercept,-3.379639897439006,3.5612284890802726,-0.9490095644808896,0.3629998480953025, ,0.02717707203481723,0.26801555171807556,0.10140110102045376,0.9192777344336243, 
"freetime in (4.0, 5.0] ∧ higher=='yes' ∧ school=='GP'",20,647.4586593582886,"[34, 42, 74, 113, 123, 132, 165, 189, 196, 217, 261, 268, 288, 297, 322, 332, 351, 372, 373, 380]",G1,1.2854923905224496,0.9759642641013302,1.3171510861682354,0.21456592022967877, ,0.1329528050058144,0.03903032135905383,3.406397907481576,0.0007180219702130492,***
"freetime in (4.0, 5.0] ∧ higher=='yes' ∧ school=='GP'",20,647.4586593582886,"[34, 42, 74, 113, 123, 132, 165, 189, 196, 217, 261, 268, 288, 297, 322, 332, 351, 372, 373, 380]",G2,-0.20075778054479088,0.9747071233481752,-0.20596728569621645,0.8405788996762638, ,0.8909118628688546,0.03654008008673422,24.38177094177464,5.217998654470732e-84,***
"freetime in (4.0, 5.0] ∧ higher=='yes' ∧ school=='GP'",20,647.4586593582886,"[34, 42, 74, 113, 123, 132, 165, 189, 196, 217, 261, 268, 288, 297, 322, 332, 351, 372, 373, 380]",absences,-0.2021250128610177,0.16748929349140768,-1.2067936322830501,0.25282332431129767, ,0.010979197311119293,0.012097131348961508,0.9075868480225946,0.364587759086899, 
