subgroup,n,cookD,indices,term,coef_group,se_group,t_group,p_group,sig_group,coef_global,se_global,t_global,p_global,sig_global
"Fedu in (-0.001, 2.0] ∧ Fjob=='services' ∧ Medu in (-0.001, 2.0]",23,250.90043408364087,"[4, 29, 39, 58, 70, 106, 120, 133, 151, 161, 162, 171, 205, 220, 224, 231, 232, 239, 244, 260, 261, 266, 267]",schoolsup,-0.44870778156526114,3.1488179130757254,-0.14250039028994504,0.8887152728621839, ,0.40798861246885565,0.3811701223319091,1.0703583218245893,0.2854246769864805, 
"Fedu in (-0.001, 2.0] ∧ Fjob=='services' ∧ Medu in (-0.001, 2.0]",23,250.90043408364087,"[4, 29, 39, 58, 70, 106, 120, 133, 151, 161, 162, 171, 205, 220, 224, 231, 232, 239, 244, 260, 261, 266, 267]",studytime,0.8486843077069146,1.291595365496154,0.6570821871762451,0.5217843185774027, ,-0.08402444003457177,0.15008908452667222,-0.5598304520249096,0.5760644464144824, 
Fjob=='services' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",Intercept,-7.939908734318507,3.431205524839804,-2.314028896502551,0.03766487300500712,*,-1.8264506466315993,0.5139336894978452,-3.553864406935823,0.00044877136870704194,***
Fjob=='services' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",G1,0.19992661321272465,0.47335158402547384,0.42236388333701114,0.6796613227764499, ,0.1789699321773739,0.07176120469458584,2.493964990402072,0.013237879968477698,*
Fjob=='services' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",G2,1.5944795321749439,0.5727911366654476,2.7837014753010014,0.015505862787910097,*,0.9586432205784376,0.06289422072402141,15.242151179278379,3.613098329719908e-38,***
Fjob=='services' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",absences,0.5757962974807875,0.25337593947938414,2.272497928034864,0.040680029586127736,*,0.030804189455871378,0.014461763764324786,2.1300437455534396,0.03408244566409777,*
Fjob=='services' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",activities,-2.3450419435161933,1.2109074316622142,-1.9365988532229514,0.07483677565104475,.,-0.16791448385354535,0.2379240768504937,-0.7057481784790497,0.4809600527035037, 
Fjob=='services' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",paid,0.8831448015000234,1.4115956855117957,0.6256358039092658,0.5423819600755078, ,0.10008503877574881,0.2495632499843142,0.4010407733592164,0.6887108573558665, 
Fjob=='services' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",famsup,0.46163105911562674,1.2411726511428973,0.3719313817385094,0.7159361121602381, ,0.03423257749624575,0.25263884666250536,0.13550005451844188,0.8923186188500041, 
Fjob=='services' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",schoolsup,-1.012182516511814,1.9237013055535315,-0.5261640742197061,0.6076343771355901, ,0.40798861246885565,0.3811701223319091,1.0703583218245893,0.2854246769864805, 
Fjob=='services' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",studytime,-1.31211296465513,0.7121017346944472,-1.842592007191415,0.08830553498525383,.,-0.08402444003457177,0.15008908452667222,-0.5598304520249096,0.5760644464144824, 
"Fjob=='services' ∧ failures in (-0.001, 3.0] ∧ guardian=='father'",22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",Intercept,-7.939908734318507,3.431205524839804,-2.314028896502551,0.03766487300500712,*,-1.8264506466315993,0.5139336894978452,-3.553864406935823,0.00044877136870704194,***
"Fjob=='services' ∧ failures in (-0.001, 3.0] ∧ guardian=='father'",22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",G1,0.19992661321272465,0.47335158402547384,0.42236388333701114,0.6796613227764499, ,0.1789699321773739,0.07176120469458584,2.493964990402072,0.013237879968477698,*
"Fjob=='services' ∧ failures in (-0.001, 3.0] ∧ guardian=='father'",22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",G2,1.5944795321749439,0.5727911366654476,2.7837014753010014,0.015505862787910097,*,0.9586432205784376,0.06289422072402141,15.242151179278379,3.613098329719908e-38,***
"Fjob=='services' ∧ failures in (-0.001, 3.0] ∧ guardian=='father'",22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",absences,0.5757962974807875,0.25337593947938414,2.272497928034864,0.040680029586127736,*,0.030804189455871378,0.014461763764324786,2.1300437455534396,0.03408244566409777,*
"Fjob=='services' ∧ failures in (-0.001, 3.0] ∧ guardian=='father'",22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",activities,-2.3450419435161933,1.2109074316622142,-1.9365988532229514,0.07483677565104475,.,-0.16791448385354535,0.2379240768504937,-0.7057481784790497,0.4809600527035037, 
"Fjob=='services' ∧ failures in (-0.001, 3.0] ∧ guardian=='father'",22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",paid,0.8831448015000234,1.4115956855117957,0.6256358039092658,0.5423819600755078, ,0.10008503877574881,0.2495632499843142,0.4010407733592164,0.6887108573558665, 
"Fjob=='services' ∧ failures in (-0.001, 3.0] ∧ guardian=='father'",22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",famsup,0.46163105911562674,1.2411726511428973,0.3719313817385094,0.7159361121602381, ,0.03423257749624575,0.25263884666250536,0.13550005451844188,0.8923186188500041, 
"Fjob=='services' ∧ failures in (-0.001, 3.0] ∧ guardian=='father'",22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",schoolsup,-1.012182516511814,1.9237013055535315,-0.5261640742197061,0.6076343771355901, ,0.40798861246885565,0.3811701223319091,1.0703583218245893,0.2854246769864805, 
"Fjob=='services' ∧ failures in (-0.001, 3.0] ∧ guardian=='father'",22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",studytime,-1.31211296465513,0.7121017346944472,-1.842592007191415,0.08830553498525383,.,-0.08402444003457177,0.15008908452667222,-0.5598304520249096,0.5760644464144824, 
Fjob=='services' ∧ Pstatus=='T' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",Intercept,-7.939908734318507,3.431205524839804,-2.314028896502551,0.03766487300500712,*,-1.8264506466315993,0.5139336894978452,-3.553864406935823,0.00044877136870704194,***
Fjob=='services' ∧ Pstatus=='T' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",G1,0.19992661321272465,0.47335158402547384,0.42236388333701114,0.6796613227764499, ,0.1789699321773739,0.07176120469458584,2.493964990402072,0.013237879968477698,*
Fjob=='services' ∧ Pstatus=='T' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",G2,1.5944795321749439,0.5727911366654476,2.7837014753010014,0.015505862787910097,*,0.9586432205784376,0.06289422072402141,15.242151179278379,3.613098329719908e-38,***
Fjob=='services' ∧ Pstatus=='T' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",absences,0.5757962974807875,0.25337593947938414,2.272497928034864,0.040680029586127736,*,0.030804189455871378,0.014461763764324786,2.1300437455534396,0.03408244566409777,*
Fjob=='services' ∧ Pstatus=='T' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",activities,-2.3450419435161933,1.2109074316622142,-1.9365988532229514,0.07483677565104475,.,-0.16791448385354535,0.2379240768504937,-0.7057481784790497,0.4809600527035037, 
Fjob=='services' ∧ Pstatus=='T' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",paid,0.8831448015000234,1.4115956855117957,0.6256358039092658,0.5423819600755078, ,0.10008503877574881,0.2495632499843142,0.4010407733592164,0.6887108573558665, 
Fjob=='services' ∧ Pstatus=='T' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",famsup,0.46163105911562674,1.2411726511428973,0.3719313817385094,0.7159361121602381, ,0.03423257749624575,0.25263884666250536,0.13550005451844188,0.8923186188500041, 
Fjob=='services' ∧ Pstatus=='T' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",schoolsup,-1.012182516511814,1.9237013055535315,-0.5261640742197061,0.6076343771355901, ,0.40798861246885565,0.3811701223319091,1.0703583218245893,0.2854246769864805, 
Fjob=='services' ∧ Pstatus=='T' ∧ guardian=='father',22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",studytime,-1.31211296465513,0.7121017346944472,-1.842592007191415,0.08830553498525383,.,-0.08402444003457177,0.15008908452667222,-0.5598304520249096,0.5760644464144824, 
"Fjob=='services' ∧ guardian=='father' ∧ traveltime in (0.999, 2.0]",22,226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",Intercept,-7.939908734318507,3.431205524839804,-2.314028896502551,0.03766487300500712,*,-1.8264506466315993,0.5139336894978452,-3.553864406935823,0.00044877136870704194,***
