r2,mae,mse,mean_residual,intercept,coef__total_attended_labsessions,pval__total_attended_labsessions,coef__active_minutes,pval__active_minutes,coef__nr_distinct_files_viewed,pval__nr_distinct_files_viewed,coef__total_course_activities,pval__total_course_activities,coef__distinct_days,pval__distinct_days,coef__nr_files_viewed,pval__nr_files_viewed,coef__nr_practice_exams_viewed,pval__nr_practice_exams_viewed,model_type,description,cookD,n_train,n_test,global_baseline_r2,global_baseline_mae,global_baseline_mse,global_baseline_mean_residual,mean_baseline_r2,mean_baseline_mae,mean_baseline_mse,mean_baseline_mean_residual,ttest_p,ttest_stat,wilcoxon_p,wilcoxon_stat,ttest_p_mean,ttest_stat_mean,wilcoxon_p_mean,wilcoxon_stat_mean,ttest_p_mean_global,ttest_stat_mean_global,wilcoxon_p_mean_global,wilcoxon_stat_mean_global
0.3604,0.9268,1.5464,0.3014,2.376621210586205,-0.08965345689835948,0.42621414900494625,-1.2031615498118998e-05,0.8001761632009855,0.04040385012824092,0.46144493787678775,0.009357238645328622,0.2952040301517733,0.025404243405437732,0.5891986914522049,-0.040769361331939084,0.29095127262115017,0.033723836319804044,0.6515351946941613,subgroup,"GPA in (1.2990000000000002, 5.6] ∧ origin=='ORIGIN_E'",158.38088628342297,70,14,-0.2154,1.2491,2.9385,-1.1667,-0.052333663930447916,1.2920408163265305,2.544338775510204,0.35571428571428526,0.10112426042137551,-1.3430055825535625,0.17877197265625,37.0,0.013035511111750386,-2.5104245053519616,0.0147705078125,18.0,0.6188195275061615,0.3088077519848912,0.5,52.0
-0.2082,0.6654,0.664,-0.2532,5.946034626926609,0.031111781566402805,0.17884679856185806,2.8086664577302615e-06,0.8865874890940431,0.05252231777447505,0.06867595069076382,-0.0005522386865117216,0.8973771397407976,0.04901541132780965,0.0015311557463220191,-0.011449296769195226,0.522463223576398,0.010583076447498493,0.6292856332183381,subgroup,"ECTS=='15' ∧ GPA in (7.0, 8.9] ∧ croho=='B Computer Science & Engineering'",118.78436396302172,102,23,-1.0453,0.894,1.124,0.7143,-0.15550687220799642,0.6657289002557544,0.6349826989619368,-0.29232736572889895,0.10108949589396861,-1.3146180764951936,0.11723542213439941,98.0,0.6346160173575537,0.34851310844366806,0.4940502643585205,137.0,0.90883099315995,1.37708398331511,0.9199475049972534,184.0
-0.1415,0.637,0.6188,-0.2515,6.043296041152015,0.039675520971319586,0.06854614978257932,9.764577716029072e-06,0.5978479280063002,0.05838825300400474,0.02354704322181834,-0.0007040699441635927,0.8400372355204784,0.04104390790297265,0.004093928446727314,-0.011524193239870445,0.43970365569258274,0.013713720639956406,0.5122176607050068,subgroup,"GPA in (7.0, 8.9] ∧ croho=='B Computer Science & Engineering'",118.02426539201196,121,24,-1.0166,0.8826,1.0931,0.7103,-0.13968728991410795,0.6524449035812672,0.6177856988366005,-0.2751721763085401,0.08220241701229285,-1.4362129729198048,0.09868919849395752,104.0,0.5052746083774613,0.013366347768812625,0.373462975025177,138.0,0.9110977770797442,1.3901070661534864,0.928324818611145,201.0
-0.1415,0.637,0.6188,-0.2515,6.043296041152015,0.039675520971319586,0.06854614978257932,9.764577716029072e-06,0.5978479280063002,0.05838825300400474,0.02354704322181834,-0.0007040699441635927,0.8400372355204784,0.04104390790297265,0.004093928446727314,-0.011524193239870445,0.43970365569258274,0.013713720639956406,0.5122176607050068,subgroup,"GPA in (7.0, 8.9] ∧ course_repeater==np.False_ ∧ croho=='B Computer Science & Engineering'",118.02426539201196,121,24,-1.0166,0.8826,1.0931,0.7103,-0.13968728991410795,0.6524449035812672,0.6177856988366005,-0.2751721763085401,0.08220241701229285,-1.4362129729198048,0.09868919849395752,104.0,0.5052746083774613,0.013366347768812625,0.373462975025177,138.0,0.9110977770797442,1.3901070661534864,0.928324818611145,201.0
0.0902,0.5879,0.5791,-0.1447,6.816392365291561,0.030162231141063634,0.17156838943579975,-5.645933273305077e-07,0.9778463097106338,0.04769024258344589,0.05601640623427301,-0.004201929843929296,0.34582019127223584,0.03348329603657055,0.021814723147120425,0.007574174606854896,0.6769095942328434,0.016597659763821604,0.48610210599943104,subgroup,"ECTS=='15' ∧ GPA in (7.0, 8.9] ∧ sex=='SEX_M'",115.08375294389728,115,23,-1.2046,0.9899,1.4033,0.9222,-0.06956996911380342,0.6439319470699434,0.6808045368620037,-0.21043478260869505,0.03337334810584487,-1.9288775987861801,0.03490853309631348,78.0,0.12296606771620673,-1.1920755659938977,0.1882610321044922,108.0,0.9325221408749707,1.5518928836355979,0.9570860862731934,194.0
0.2003,0.565,0.4907,-0.2114,7.498136324125735,0.02525129286296604,0.37329814868746924,4.056405237797491e-06,0.8665164464363924,0.057183107940871086,0.04738626644096877,-0.009427001202466215,0.09430708471340858,0.022509071995577293,0.24406016875281286,0.0333356722079467,0.16845361244399742,-0.00012960332935387994,0.9962420405362121,subgroup,"GPA in (7.0, 8.9] ∧ origin=='ORIGIN_E'",113.60662660253023,91,21,-0.689,0.8558,1.0365,0.7499,-0.033427732679593536,0.7052328623757196,0.6341637483395728,-0.14322344322344427,0.07735502307473378,-1.4790335035177782,0.0785670280456543,74.0,0.06192197002477273,-1.6064728863996045,0.07348203659057617,73.0,0.8580304815821569,1.1010766643834833,0.8713760375976562,148.0
0.2003,0.565,0.4907,-0.2114,7.498136324125735,0.02525129286296604,0.37329814868746924,4.056405237797491e-06,0.8665164464363924,0.057183107940871086,0.04738626644096877,-0.009427001202466215,0.09430708471340858,0.022509071995577293,0.24406016875281286,0.0333356722079467,0.16845361244399742,-0.00012960332935387994,0.9962420405362121,subgroup,"GPA in (7.0, 8.9] ∧ course_repeater==np.False_ ∧ origin=='ORIGIN_E'",113.60662660253023,91,21,-0.689,0.8558,1.0365,0.7499,-0.033427732679593536,0.7052328623757196,0.6341637483395728,-0.14322344322344427,0.07735502307473378,-1.4790335035177782,0.0785670280456543,74.0,0.06192197002477273,-1.6064728863996045,0.07348203659057617,73.0,0.8580304815821569,1.1010766643834833,0.8713760375976562,148.0
0.1037,0.602,0.5771,-0.1683,6.714630519141643,0.028468688052930805,0.14715487820142653,1.136722496915702e-05,0.5430381051593884,0.03817677964274675,0.09369199023992755,-0.0016928507080129149,0.6556439745748757,0.031635777914421646,0.015450431304785961,-0.0028174495691321855,0.858859181713912,0.013811248255432743,0.4824306095557883,subgroup,"ECTS=='15' ∧ GPA in (7.0, 8.9]",113.00294337601643,145,40,-0.7915,0.9031,1.1536,0.7712,-0.05246141462206566,0.6500000000000001,0.6776799048751483,-0.18379310344827474,0.02019276782831293,-2.120412298942385,0.01342636028311972,246.0,0.031033510259217106,-1.9209720233060432,0.021813180620483763,260.0,0.9402812225490773,1.5920943727882597,0.9815755428944613,564.0
0.1037,0.602,0.5771,-0.1683,6.714630519141643,0.028468688052930805,0.14715487820142653,1.136722496915702e-05,0.5430381051593884,0.03817677964274675,0.09369199023992755,-0.0016928507080129149,0.6556439745748757,0.031635777914421646,0.015450431304785961,-0.0028174495691321855,0.858859181713912,0.013811248255432743,0.4824306095557883,subgroup,"ECTS=='15' ∧ GPA in (7.0, 8.9] ∧ course_repeater==np.False_",113.00294337601643,145,40,-0.7915,0.9031,1.1536,0.7712,-0.05246141462206566,0.6500000000000001,0.6776799048751483,-0.18379310344827474,0.02019276782831293,-2.120412298942385,0.01342636028311972,246.0,0.031033510259217106,-1.9209720233060432,0.021813180620483763,260.0,0.9402812225490773,1.5920943727882597,0.9815755428944613,564.0
0.0267,0.6504,0.6519,-0.2624,6.709029885977737,0.03192040122414519,0.06227471623160662,1.9918566599488974e-05,0.23453543604964225,0.03266767800490468,0.09319048009348081,0.0003105484097017386,0.9178016842896366,0.024806928398766158,0.030461638417386475,-0.01090422351400993,0.39942611611310264,0.015798288767835636,0.37855128638998625,subgroup,"GPA in (7.0, 8.9]",112.16955186598985,185,47,-0.5104,0.8277,1.0116,0.6721,-0.11435616941849869,0.7060379528464634,0.7463815364530713,-0.27675675675675565,0.0734428494411419,-1.4755188533265,0.08114350408318671,431.0,0.01580039814633517,-2.2170631400469847,0.014768341919818795,359.0,0.8385185112008973,0.9991211244431948,0.8665247746402045,669.0
