r2,mae,mse,mean_residual,intercept,coef__nr_distinct_files_viewed,pval__nr_distinct_files_viewed,coef__total_course_activities,pval__total_course_activities,coef__nightly_activities,pval__nightly_activities,coef__distinct_days,pval__distinct_days,coef__logged_in_weekly,pval__logged_in_weekly,coef__nr_files_viewed,pval__nr_files_viewed,coef__nr_slides_viewed,pval__nr_slides_viewed,model_type,description,cookD,n_train,n_test,global_baseline_r2,global_baseline_mae,global_baseline_mse,global_baseline_mean_residual,mean_baseline_r2,mean_baseline_mae,mean_baseline_mse,mean_baseline_mean_residual,ttest_p,ttest_stat,wilcoxon_p,wilcoxon_stat,ttest_p_mean,ttest_stat_mean,wilcoxon_p_mean,wilcoxon_stat_mean,ttest_p_mean_global,ttest_stat_mean_global,wilcoxon_p_mean_global,wilcoxon_stat_mean_global
-0.1302,1.8833,4.899,-0.033,6.2126874916390085,0.03888095701575754,0.17366164326145234,0.020653423376313453,0.002598720855997972,-0.0038314367445980643,0.39104558870693507,-0.09934297614565568,0.01999338567670419,0.13763555530069316,0.7557673434693452,-0.06842111334968279,0.0278237226235983,-0.05356510619770599,0.11906700646681337,subgroup,croho=='B Electrical Engineering' ∧ origin=='ORIGIN_E',169.29265680624303,120,37,-0.1224,1.9491,4.8651,0.7005,-0.01758745436343423,1.8825,4.410754748498498,0.27610360360360386,0.5196103131717466,0.04951906061553416,0.275247081539419,311.0,0.8134156622646267,0.9017782089494935,0.7769350043017766,402.0,0.8039179836877407,0.8661130130514194,0.8419760251053958,418.0
-0.1302,1.8833,4.899,-0.033,6.2126874916390085,0.03888095701575754,0.17366164326145234,0.020653423376313453,0.002598720855997972,-0.0038314367445980643,0.39104558870693507,-0.09934297614565568,0.01999338567670419,0.13763555530069316,0.7557673434693452,-0.06842111334968279,0.0278237226235983,-0.05356510619770599,0.11906700646681337,subgroup,croho=='B Electrical Engineering' ∧ double_major==False ∧ origin=='ORIGIN_E',169.29265680624303,120,37,-0.1224,1.9491,4.8651,0.7005,-0.01758745436343423,1.8825,4.410754748498498,0.27610360360360386,0.5196103131717466,0.04951906061553416,0.275247081539419,311.0,0.8134156622646267,0.9017782089494935,0.7769350043017766,402.0,0.8039179836877407,0.8661130130514194,0.8419760251053958,418.0
0.2265,1.3306,2.6507,0.0597,5.932448835458025,0.07392260823480341,0.0031930167221080334,0.02941802016691028,4.0275038232500936e-05,-0.004926133126791257,0.2622195399523236,-0.09407465350826469,0.025030214459837653,-0.07798912840526079,0.8450262707364661,-0.11289231632258466,0.000278313617775433,-0.012555018324613657,0.45660224201055755,subgroup,croho=='B Computer Science & Engineering' ∧ origin=='ORIGIN_E' ∧ sex=='SEX_M',164.21137579812896,93,32,-0.2697,1.8498,4.3509,1.226,-0.03941335870903506,1.5990255376344087,3.561848298936294,0.3675067204301086,0.011837322394430215,-2.379487736050983,0.020669983699917793,155.0,0.041388633110786444,-1.792746471907864,0.017059955513104796,151.0,0.8720497560720908,1.1575215302461734,0.966076104901731,361.0
-0.0582,1.7708,4.5211,0.0544,6.979408939658493,0.03167429216331101,0.2572941656752074,0.02168245678300609,0.003975709304134512,-0.0034159378019586037,0.4459019685814508,-0.11792773250384354,0.009107264425686476,0.134174683338655,0.7610931660302751,-0.07258670015561008,0.029446028347027958,-0.04573881410907989,0.18207090729382697,subgroup,course_repeater==np.False_ ∧ croho=='B Electrical Engineering' ∧ origin=='ORIGIN_E',159.11293158947407,112,32,-0.2132,2.0452,5.1836,0.8234,-0.03449997611683675,1.8470982142857144,4.419901147959184,0.3839285714285718,0.189885441784777,-0.8910412622290114,0.12310675298795104,201.0,0.5772539999118842,0.1965121056463537,0.318941667675972,238.0,0.8977350812089816,1.296035450980334,0.9488241469953209,351.0
-0.2174,1.683,5.1344,-0.4599,6.071256032009472,0.08546161593539377,0.00038876049980653447,0.026432128561405612,4.2587960915618266e-05,-0.004915604326388779,0.13177521496792402,-0.09428098581015562,0.014031488752333055,-0.09244404958613273,0.786119150911173,-0.10414388325343774,0.00019651339709653886,-0.007270254961305499,0.6006529447693713,subgroup,croho=='B Computer Science & Engineering' ∧ sex=='SEX_M' ∧ type_vooropleiding=='BUITENL_SL',131.79950096701654,123,57,0.0395,1.7486,4.0509,0.7786,-0.0027987588786262396,1.7583368991584651,4.22918107781848,-0.10864356011981072,0.7621308111025598,0.7180061250412526,0.19432860499911603,718.0,0.7390873573235639,0.6445891614817528,0.10685561913695835,670.0,0.3659707644761696,-0.3442582205801895,0.5678181248262134,848.0
-0.2231,1.9004,5.7352,-0.4335,6.962615822534517,0.04760119800412147,0.027038697308871977,0.017028413200746554,0.0004064885821896111,-0.0009495208829685331,0.7315219569197106,-0.10647187075658822,0.0007538007761858776,0.13300603998785973,0.6734035079646631,-0.05748701788810229,0.005854546054867141,0.011917585573816933,0.6247039917335726,subgroup,course_repeater==np.False_ ∧ croho=='B Electrical Engineering' ∧ type_vooropleiding=='BUITENL_SL',124.34169888088438,173,62,0.0327,1.8178,4.5356,0.4884,-0.013038936506496235,1.7483870967741937,4.7502987500525435,-0.24726831997016643,0.8840132957691033,1.2073099766447173,0.5819273812291961,1006.0,0.8519272199424603,1.0537674723860773,0.6844782054064228,1045.0,0.35920316439690364,-0.3622646564005841,0.8008983217272581,1097.0
-0.0745,1.8594,4.7361,-0.2409,5.684503094001573,0.09707210986612216,0.009336123114125261,0.024561014941505054,0.0009426625681741386,-0.0038277272775788587,0.38583009173580873,-0.10190919277217025,0.019064202190822048,0.1507330948659319,0.7390740973352103,-0.0964085272674478,0.007596189150870394,0.005497798132546902,0.8960861246667314,subgroup,croho=='B Electrical Engineering' ∧ origin=='ORIGIN_E' ∧ type_vooropleiding=='BUITENL_SL',122.09529894908546,112,34,-0.1068,1.9597,4.8783,0.6179,-0.003698530618372997,1.8594537815126049,4.42394887642557,0.12767857142857073,0.42491610576879846,-0.19082455518968638,0.10125751327723265,222.0,0.6704570778560567,0.44519465033317485,0.5269043137086555,301.0,0.7795040733455891,0.7799274905737797,0.8648813108447939,362.0
-0.0799,1.5312,4.0001,-0.1698,6.713106284906068,0.08657055168245165,0.00016788178805438858,0.02161202661343154,0.0010473469426057706,-0.0002170395840877812,0.9553221435770743,-0.08951268411520125,0.028338965906630296,0.23612232390840698,0.5172701388134427,-0.09352085656787834,0.0020391429225606393,-0.0018749365314362125,0.9031733838453169,subgroup,course_repeater==np.False_ ∧ croho=='B Computer Science & Engineering' ∧ origin=='ORIGIN_E',117.25337299705267,110,40,-0.2627,1.8422,4.6774,1.0264,-0.0004981024737384931,1.5561363636363643,3.7060888429752064,-0.042954545454543004,0.2522870292145482,-0.6735432964062227,0.03966471669173188,279.0,0.6692302169580262,0.4411512794707437,0.31364258219036856,373.0,0.9241401747776151,1.462122457965975,0.9456004251151171,529.0
0.0228,1.4967,3.7636,-0.0735,5.652399032117385,0.09691595648449285,2.4079938186770867e-05,0.020459281960221242,0.0016893819635247203,-0.0016698222378560385,0.6623238763312302,-0.05481314070457569,0.16987770701059624,0.04754189030402489,0.8949615743547346,-0.09038241060849174,0.002239483831323239,-0.005427454252473012,0.7195668564073271,subgroup,croho=='B Computer Science & Engineering' ∧ origin=='ORIGIN_E' ∧ type_vooropleiding=='BUITENL_SL',107.37640468380866,118,42,-0.1814,1.8096,4.5503,1.0684,-0.00274938028746341,1.6204196933010497,3.8622052023912126,0.10290556900726534,0.1831283526661336,-0.9136228274613102,0.03284043792086777,304.0,0.4388035815151784,-0.15496772064564324,0.16032980679369757,371.0,0.8659712409279485,1.1227929493355002,0.9258655105845719,567.0
-0.0465,1.9523,5.4032,-0.5602,7.074136999686429,0.04028253783203019,0.08734530312671898,0.015433654562222614,0.001519758589267641,0.0005694429008186895,0.8478474649436116,-0.11469134550542873,0.0010138367873035181,0.17580498871630856,0.6208236978866661,-0.046920057121998246,0.027008206123826806,0.006339391787905688,0.806688581339627,subgroup,croho=='B Electrical Engineering' ∧ sex=='SEX_M' ∧ type_vooropleiding=='BUITENL_SL',107.32590532993453,150,52,0.1077,1.8324,4.6072,0.2374,-0.04830481845950141,1.9020256410256413,5.412676136752134,-0.499410256410255,0.9105671159557787,1.3630146113612744,0.7696395346321967,770.0,0.49213017429492745,-0.019824982462811135,0.3179069706787152,637.0,0.12025157562165911,-1.187573579285997,0.29867985896384647,631.0
